z,boundary,estimated_x,bisection_steps,queries,nominal_budget,actual_queries_total
-0.6903765690376569,1,0.29522705078125,14,16,100000,22944
-0.6903765690376569,2,0.89520263671875,14,16,100000,22944
-0.6899977569748146,0,-0.30487060546875,14,16,100000,22944
-0.6899977569748146,1,0.29510498046875,14,16,100000,22944
-0.6899977569748146,2,0.89508056640625,14,16,100000,22944
-0.6820083682008369,0,-0.30767822265625,14,16,100000,22944
-0.6820083682008369,1,0.29229736328125,14,16,100000,22944
-0.6820083682008369,2,0.89239501953125,14,16,100000,22944
-0.6812401912098126,0,-0.30792236328125,14,16,100000,22944
-0.6812401912098126,1,0.29205322265625,14,16,100000,22944
-0.6812401912098126,2,0.89202880859375,14,16,100000,22944
-0.6736401673640168,0,-0.31060791015625,14,16,100000,22944
-0.6736401673640168,1,0.28948974609375,14,16,100000,22944
-0.6736401673640168,2,0.88946533203125,14,16,100000,22944
-0.6726578666239851,0,-0.31085205078125,14,16,100000,22944
-0.6726578666239851,1,0.28912353515625,14,16,100000,22944
-0.6726578666239851,2,0.88909912109375,14,16,100000,22944
-0.665598232556896,0,-0.31341552734375,14,16,100000,22944
-0.665598232556896,1,0.28668212890625,14,16,100000,22944
-0.665598232556896,2,0.88665771484375,14,16,100000,22944
-0.6652719665271967,0,-0.31353759765625,14,16,100000,22944
-0.6652719665271967,1,0.28656005859375,14,16,100000,22944
-0.6652719665271967,2,0.88653564453125,14,16,100000,22944
-0.6569281238000895,0,-0.31634521484375,14,16,100000,22944
-0.6569281238000895,1,0.28363037109375,14,16,100000,22944
-0.6569281238000895,2,0.88360595703125,14,16,100000,22944
-0.6569037656903767,0,-0.31634521484375,14,16,100000,22944
-0.6569037656903767,1,0.28363037109375,14,16,100000,22944
-0.6569037656903767,2,0.88360595703125,14,16,100000,22944
-0.6485355648535565,0,-0.31939697265625,14,16,100000,22944
-0.6485355648535565,1,0.28070068359375,14,16,100000,22944
-0.6485355648535565,2,0.88067626953125,14,16,100000,22944
-0.6485184063669865,0,-0.31939697265625,14,16,100000,22944
-0.6485184063669865,1,0.28070068359375,14,16,100000,22944
-0.6485184063669865,2,0.88067626953125,14,16,100000,22944
-0.6401673640167365,0,-0.32232666015625,14,16,100000,22944
-0.6401673640167365,1,0.27764892578125,14,16,100000,22944
-0.6401673640167365,2,0.87774658203125,14,16,100000,22944
-0.6393620735767199,0,-0.32257080078125,14,16,100000,22944
-0.6393620735767199,1,0.27740478515625,14,16,100000,22944
-0.6393620735767199,2,0.87738037109375,14,16,100000,22944
-0.6318008255291869,0,-0.32525634765625,14,16,100000,22944
-0.6318008255291869,1,0.27471923828125,14,16,100000,22944
-0.6318008255291869,2,0.87469482421875,14,16,100000,22944
-0.6317991631799164,0,-0.32525634765625,14,16,100000,22944
-0.6317991631799164,1,0.27471923828125,14,16,100000,22944
-0.6317991631799164,2,0.87469482421875,14,16,100000,22944
-0.623758108598433,0,-0.32806396484375,14,16,100000,22944
-0.623758108598433,1,0.27191162109375,14,16,100000,22944
-0.623758108598433,2,0.87188720703125,14,16,100000,22944
-0.6234309623430963,0,-0.32818603515625,14,16,100000,22944
-0.6234309623430963,1,0.27178955078125,14,16,100000,22944
-0.6234309623430963,2,0.87176513671875,14,16,100000,22944
-0.6150627615062763,0,-0.33123779296875,14,16,100000,22944
-0.6150627615062763,1,0.26873779296875,14,16,100000,22944
-0.6150627615062763,2,0.86883544921875,14,16,100000,22944
-0.6150329989160034,0,-0.33123779296875,14,16,100000,22944
-0.6150329989160034,1,0.26873779296875,14,16,100000,22944
-0.6150329989160034,2,0.86871337890625,14,16,100000,22944
-0.606694560669456,0,-0.33416748046875,14,16,100000,22944
-0.606694560669456,1,0.26580810546875,14,16,100000,22944
-0.606694560669456,2,0.86578369140625,14,16,100000,22944
-0.606478416504253,0,-0.33428955078125,14,16,100000,22944
-0.606478416504253,1,0.26568603515625,14,16,100000,22944
-0.606478416504253,2,0.86566162109375,14,16,100000,22944
-0.598326359832636,0,-0.33721923828125,14,16,100000,22944
-0.598326359832636,1,0.26275634765625,14,16,100000,22944
-0.598326359832636,2,0.86273193359375,14,16,100000,22944
-0.5979157830786375,0,-0.33734130859375,14,16,100000,22944
-0.5979157830786375,1,0.26263427734375,14,16,100000,22944
-0.5979157830786375,2,0.86260986328125,14,16,100000,22944
-0.5899581589958159,0,-0.34027099609375,14,16,100000,22944
-0.5899581589958159,1,0.25970458984375,14,16,100000,22944
-0.5899581589958159,2,0.85968017578125,14,16,100000,22944
-0.5893375104309022,0,-0.34051513671875,14,16,100000,22944
-0.5893375104309022,1,0.25946044921875,14,16,100000,22944
-0.5893375104309022,2,0.85955810546875,14,16,100000,22944
-0.5824764085880005,0,-0.34295654296875,14,16,100000,22944
-0.5824764085880005,1,0.25701904296875,14,16,100000,22944
-0.5824764085880005,2,0.85699462890625,14,16,100000,22944
-0.5815899581589958,0,-0.34332275390625,14,16,100000,22944
-0.5815899581589958,1,0.25665283203125,14,16,100000,22944
-0.5815899581589958,2,0.85662841796875,14,16,100000,22944
-0.5732217573221758,0,-0.34637451171875,14,16,100000,22944
-0.5732217573221758,1,0.25360107421875,14,16,100000,22944
-0.5732217573221758,2,0.85357666015625,14,16,100000,22944
-0.5728461424179518,0,-0.34649658203125,14,16,100000,22944
-0.5728461424179518,1,0.25347900390625,14,16,100000,22944
-0.5728461424179518,2,0.85345458984375,14,16,100000,22944
-0.5653147274828132,0,-0.34930419921875,14,16,100000,22944
-0.5653147274828132,1,0.25067138671875,14,16,100000,22944
-0.5653147274828132,2,0.85076904296875,14,16,100000,22944
-0.5648535564853556,0,-0.34942626953125,14,16,100000,22944
-0.5648535564853556,1,0.25054931640625,14,16,100000,22944
-0.5648535564853556,2,0.85052490234375,14,16,100000,22944
-0.5567233942845244,0,-0.35247802734375,14,16,100000,22944
-0.5567233942845244,1,0.24749755859375,14,16,100000,22944
-0.5567233942845244,2,0.84759521484375,14,16,100000,22944
-0.5564853556485356,0,-0.35260009765625,14,16,100000,22944
-0.5564853556485356,1,0.24749755859375,14,16,100000,22944
-0.5564853556485356,2,0.84747314453125,14,16,100000,22944
-0.5481171548117155,0,-0.35565185546875,14,16,100000,22944
-0.5481171548117155,1,0.24432373046875,14,16,100000,22944
-0.5481171548117155,2,0.84429931640625,14,16,100000,22944
-0.5477803672936132,0,-0.35577392578125,14,16,100000,22944
-0.5477803672936132,1,0.24420166015625,14,16,100000,22944
-0.5477803672936132,2,0.84417724609375,14,16,100000,22944
-0.5397489539748954,0,-0.35882568359375,14,16,100000,22944
-0.5397489539748954,1,0.24127197265625,14,16,100000,22944
-0.5397489539748954,2,0.84124755859375,14,16,100000,22944
-0.5392002441113473,0,-0.35894775390625,14,16,100000,22944
-0.5392002441113473,1,0.24102783203125,14,16,100000,22944
-0.5392002441113473,2,0.84100341796875,14,16,100000,22944
-0.5313807531380754,0,-0.36187744140625,14,16,100000,22944
-0.5313807531380754,1,0.23809814453125,14,16,100000,22944
-0.5313807531380754,2,0.83807373046875,14,16,100000,22944
-0.5311111814708818,0,-0.36199951171875,14,16,100000,22944
-0.5311111814708818,1,0.23797607421875,14,16,100000,22944
-0.5311111814708818,2,0.83795166015625,14,16,100000,22944
-0.5234280037101274,0,-0.36492919921875,14,16,100000,22944
-0.5234280037101274,1,0.23504638671875,14,16,100000,22944
-0.5234280037101274,2,0.83514404296875,14,16,100000,22944
-0.5230125523012552,0,-0.36505126953125,14,16,100000,22944
-0.5230125523012552,1,0.23492431640625,14,16,100000,22944
-0.5230125523012552,2,0.83489990234375,14,16,100000,22944
-0.5146443514644352,0,-0.36822509765625,14,16,100000,22944
-0.5146443514644352,1,0.23175048828125,14,16,100000,22944
-0.5146443514644352,2,0.83172607421875,14,16,100000,22944
-0.5143872376750346,0,-0.36834716796875,14,16,100000,22944
-0.5143872376750346,1,0.23162841796875,14,16,100000,22944
-0.5143872376750346,2,0.83160400390625,14,16,100000,22944
-0.5062761506276151,0,-0.37139892578125,14,16,100000,22944
-0.5062761506276151,1,0.22857666015625,14,16,100000,22944
-0.5062761506276151,2,0.82855224609375,14,16,100000,22944
-0.5058927703616442,0,-0.37164306640625,14,16,100000,22944
-0.5058927703616442,1,0.22845458984375,14,16,100000,22944
-0.5058927703616442,2,0.82843017578125,14,16,100000,22944
-0.497907949790795,0,-0.37469482421875,14,16,100000,22944
-0.497907949790795,1,0.22540283203125,14,16,100000,22944
-0.497907949790795,2,0.82537841796875,14,16,100000,22944
-0.4969353663229596,0,-0.37506103515625,14,16,100000,22944
-0.4969353663229596,1,0.22503662109375,14,16,100000,22944
-0.4969353663229596,2,0.82501220703125,14,16,100000,22944
-0.4895397489539749,0,-0.37786865234375,14,16,100000,22944
-0.4895397489539749,1,0.22210693359375,14,16,100000,22944
-0.4895397489539749,2,0.82208251953125,14,16,100000,22944
-0.48941312797447745,0,-0.37786865234375,14,16,100000,22944
-0.48941312797447745,1,0.22210693359375,14,16,100000,22944
-0.48941312797447745,2,0.82208251953125,14,16,100000,22944
-0.4811715481171549,0,-0.38116455078125,14,16,100000,22944
-0.4811715481171549,1,0.21893310546875,14,16,100000,22944
-0.4811715481171549,2,0.81890869140625,14,16,100000,22944
-0.4809446303108339,0,-0.38116455078125,14,16,100000,22944
-0.4809446303108339,1,0.21881103515625,14,16,100000,22944
-0.4809446303108339,2,0.81878662109375,14,16,100000,22944
-0.4735292602194118,0,-0.38409423828125,14,16,100000,22944
-0.4735292602194118,1,0.21588134765625,14,16,100000,22944
-0.4735292602194118,2,0.81585693359375,14,16,100000,22944
-0.4728033472803348,0,-0.38433837890625,14,16,100000,22944
-0.4728033472803348,1,0.21563720703125,14,16,100000,22944
-0.4728033472803348,2,0.81561279296875,14,16,100000,22944
-0.46446795882512476,0,-0.38763427734375,14,16,100000,22944
-0.46446795882512476,1,0.21234130859375,14,16,100000,22944
-0.46446795882512476,2,0.81231689453125,14,16,100000,22944
-0.4644351464435147,0,-0.38763427734375,14,16,100000,22944
-0.4644351464435147,1,0.21234130859375,14,16,100000,22944
-0.4644351464435147,2,0.81231689453125,14,16,100000,22944
-0.4562606142360185,0,-0.39093017578125,14,16,100000,22944
-0.4562606142360185,1,0.20916748046875,14,16,100000,22944
-0.4562606142360185,2,0.80914306640625,14,16,100000,22944
-0.4560669456066946,0,-0.39093017578125,14,16,100000,22944
-0.4560669456066946,1,0.20904541015625,14,16,100000,22944
-0.4560669456066946,2,0.80902099609375,14,16,100000,22944
