boundary,z,true_x,estimated_x,queries
0,0.7656903765690375,-0.920773171102796,-0.92071533203125,22944
0,0.7740585774058575,-0.9235650025211678,-0.92352294921875,22944
0,0.7824267782426777,-0.9263483609103601,-0.92633056640625,22944
0,0.7907949790794977,-0.9291234772417251,-0.92913818359375,22944
0,0.7991631799163179,-0.9318905777020992,-0.93194580078125,22944
0,0.8075313807531379,-0.9346498836941982,-0.93463134765625,22944
0,0.8158995815899579,-0.9374016118449724,-0.93743896484375,22944
0,0.8242677824267781,-0.9401459740213225,-0.94012451171875,22944
0,0.8326359832635981,-0.9428831773526138,-0.94293212890625,22944
0,0.8410041841004183,-0.9456134242594452,-0.94561767578125,22944
0,0.8493723849372383,-0.9483369124881552,-0.94830322265625,22944
0,0.8577405857740583,-0.9510538351505812,-0.95111083984375,22944
0,0.8661087866108785,-0.9537643807685992,-0.95379638671875,22944
0,0.8744769874476985,-0.9564687333230087,-0.95648193359375,22944
0,0.8828451882845187,-0.9591670723063451,-0.95916748046875,22944
0,0.8912133891213387,-0.9618595727792203,-0.96185302734375,22944
0,0.8995815899581587,-0.9645464054298285,-0.96453857421875,22944
0,0.907949790794979,-0.9672277366362589,-0.96722412109375,22944
0,0.916317991631799,-0.9699037285312904,-0.96990966796875,22944
0,0.9246861924686192,-0.9725745390693576,-0.97259521484375,22944
0,0.9330543933054392,-0.9752403220954005,-0.97528076171875,22944
0,0.9414225941422592,-0.9779012274153212,-0.97784423828125,22944
0,0.9497907949790794,-0.9805574008678006,-0.98052978515625,22944
0,0.9581589958158994,-0.9832089843972347,-0.98321533203125,22944
0,0.9665271966527196,-0.9858561161275694,-0.98590087890625,22944
0,0.9748953974895396,-0.9884989304368321,-0.98846435546875,22944
0,0.9832635983263596,-0.9911375580321677,-0.99114990234375,22944
0,0.9916317991631798,-0.993772126025204,-0.99371337890625,22944
0,1.0,-0.9964027580075816,-0.99639892578125,22944
1,-1.0,0.3964027580075817,0.39642333984375,22944
1,-0.9916317991631799,0.39377212602520406,0.39373779296875,22944
1,-0.9832635983263598,0.3911375580321679,0.39117431640625,22944
1,-0.9748953974895398,0.3884989304368322,0.38848876953125,22944
1,-0.9665271966527197,0.3858561161275695,0.38580322265625,22944
1,-0.9581589958158996,0.38320898439723483,0.38323974609375,22944
1,-0.9497907949790795,0.3805574008678007,0.38055419921875,22944
1,-0.9414225941422594,0.3779012274153212,0.37786865234375,22944
1,-0.9330543933054394,0.3752403220954006,0.37518310546875,22944
