z,boundary,estimated_x,bisection_steps,queries,nominal_budget,actual_queries_total,seed,family,samples
-0.7831682814975185,0,-0.32586669921875,14,16,100000,22944,0,inventory_threshold,100000
-0.7831682814975185,1,0.27410888671875,14,16,100000,22944,0,inventory_threshold,100000
-0.7831682814975185,2,0.87408447265625,14,16,100000,22944,0,inventory_threshold,100000
-0.7824267782426778,0,-0.32611083984375,14,16,100000,22944,0,inventory_threshold,100000
-0.7824267782426778,1,0.27386474609375,14,16,100000,22944,0,inventory_threshold,100000
-0.7824267782426778,2,0.87384033203125,14,16,100000,22944,0,inventory_threshold,100000
-0.7740585774058577,0,-0.32904052734375,14,16,100000,22944,0,inventory_threshold,100000
-0.7740585774058577,1,0.27093505859375,14,16,100000,22944,0,inventory_threshold,100000
-0.7740585774058577,2,0.87091064453125,14,16,100000,22944,0,inventory_threshold,100000
-0.7740365491463538,0,-0.32904052734375,14,16,100000,22944,0,inventory_threshold,100000
-0.7740365491463538,1,0.27093505859375,14,16,100000,22944,0,inventory_threshold,100000
-0.7740365491463538,2,0.87091064453125,14,16,100000,22944,0,inventory_threshold,100000
-0.7657479662758359,0,-0.33197021484375,14,16,100000,22944,0,inventory_threshold,100000
-0.7657479662758359,1,0.26800537109375,14,16,100000,22944,0,inventory_threshold,100000
-0.7657479662758359,2,0.86798095703125,14,16,100000,22944,0,inventory_threshold,100000
-0.7656903765690377,0,-0.33197021484375,14,16,100000,22944,0,inventory_threshold,100000
-0.7656903765690377,1,0.26800537109375,14,16,100000,22944,0,inventory_threshold,100000
-0.7656903765690377,2,0.86798095703125,14,16,100000,22944,0,inventory_threshold,100000
-0.7586758394326465,0,-0.33441162109375,14,16,100000,22944,0,inventory_threshold,100000
-0.7586758394326465,1,0.26556396484375,14,16,100000,22944,0,inventory_threshold,100000
-0.7586758394326465,2,0.86553955078125,14,16,100000,22944,0,inventory_threshold,100000
-0.7573221757322176,0,-0.33489990234375,14,16,100000,22944,0,inventory_threshold,100000
-0.7573221757322176,1,0.26507568359375,14,16,100000,22944,0,inventory_threshold,100000
-0.7573221757322176,2,0.86505126953125,14,16,100000,22944,0,inventory_threshold,100000
-0.7489539748953975,0,-0.33782958984375,14,16,100000,22944,0,inventory_threshold,100000
-0.7489539748953975,1,0.26214599609375,14,16,100000,22944,0,inventory_threshold,100000
-0.7489539748953975,2,0.86212158203125,14,16,100000,22944,0,inventory_threshold,100000
-0.7472244358149193,0,-0.33843994140625,14,16,100000,22944,0,inventory_threshold,100000
-0.7472244358149193,1,0.26153564453125,14,16,100000,22944,0,inventory_threshold,100000
-0.7472244358149193,2,0.86151123046875,14,16,100000,22944,0,inventory_threshold,100000
-0.7408595546956165,0,-0.34075927734375,14,16,100000,22944,0,inventory_threshold,100000
-0.7408595546956165,1,0.25933837890625,14,16,100000,22944,0,inventory_threshold,100000
-0.7408595546956165,2,0.85931396484375,14,16,100000,22944,0,inventory_threshold,100000
-0.7405857740585775,0,-0.34075927734375,14,16,100000,22944,0,inventory_threshold,100000
-0.7405857740585775,1,0.25921630859375,14,16,100000,22944,0,inventory_threshold,100000
-0.7405857740585775,2,0.85919189453125,14,16,100000,22944,0,inventory_threshold,100000
-0.7326319780124112,0,-0.34356689453125,14,16,100000,22944,0,inventory_threshold,100000
-0.7326319780124112,1,0.25640869140625,14,16,100000,22944,0,inventory_threshold,100000
-0.7326319780124112,2,0.85638427734375,14,16,100000,22944,0,inventory_threshold,100000
-0.7322175732217573,0,-0.34368896484375,14,16,100000,22944,0,inventory_threshold,100000
-0.7322175732217573,1,0.25628662109375,14,16,100000,22944,0,inventory_threshold,100000
-0.7322175732217573,2,0.85626220703125,14,16,100000,22944,0,inventory_threshold,100000
-0.7238493723849373,0,-0.34661865234375,14,16,100000,22944,0,inventory_threshold,100000
-0.7238493723849373,1,0.25335693359375,14,16,100000,22944,0,inventory_threshold,100000
-0.7238493723849373,2,0.85333251953125,14,16,100000,22944,0,inventory_threshold,100000
-0.7226803647744963,0,-0.34710693359375,14,16,100000,22944,0,inventory_threshold,100000
-0.7226803647744963,1,0.25299072265625,14,16,100000,22944,0,inventory_threshold,100000
