x,z,policy
0.6987447698744769,-0.9832635983263598,2
0.7071129707112969,-0.9832635983263598,2
0.7154811715481171,-0.9832635983263598,2
0.7238493723849371,-0.9832635983263598,2
0.7322175732217571,-0.9832635983263598,2
0.7405857740585773,-0.9832635983263598,2
0.7489539748953973,-0.9832635983263598,2
0.7573221757322175,-0.9832635983263598,2
0.7656903765690375,-0.9832635983263598,2
0.7740585774058575,-0.9832635983263598,2
0.7824267782426777,-0.9832635983263598,2
0.7907949790794977,-0.9832635983263598,2
0.7991631799163179,-0.9832635983263598,2
0.8075313807531379,-0.9832635983263598,2
0.8158995815899579,-0.9832635983263598,2
0.8242677824267781,-0.9832635983263598,2
0.8326359832635981,-0.9832635983263598,2
0.8410041841004183,-0.9832635983263598,2
0.8493723849372383,-0.9832635983263598,2
0.8577405857740583,-0.9832635983263598,2
0.8661087866108785,-0.9832635983263598,2
0.8744769874476985,-0.9832635983263598,2
0.8828451882845187,-0.9832635983263598,2
0.8912133891213387,-0.9832635983263598,2
0.8995815899581587,-0.9832635983263598,2
