seed,family,strategy,samples,queries,d_H,policy_risk
2,admission_control,active_adaptive_bisection,25000,19128,0.000244140625,0.00022
2,admission_control,uniform,50000,50000,0.04678189308197229,0.0221
2,admission_control,active_adaptive_bisection,50000,20483,0.0001220703125,7e-05
2,admission_control,uniform,100000,100000,0.04602588515490014,0.02185
2,admission_control,active_adaptive_bisection,100000,21838,6.103515625e-05,6e-05
2,resource_allocation,uniform,100,100,0.4964027580075816,0.33486
2,resource_allocation,active_adaptive_bisection,100,84,0.03257011140332189,0.02511
2,resource_allocation,uniform,200,200,0.4964027580075816,0.33486
2,resource_allocation,active_adaptive_bisection,200,189,0.02875904392158446,0.01917
2,resource_allocation,uniform,500,500,0.4310716708174458,0.12161
2,resource_allocation,active_adaptive_bisection,500,480,0.015221438231662776,0.00854
2,resource_allocation,uniform,1000,1000,0.2130610498390596,0.11724
2,resource_allocation,active_adaptive_bisection,1000,999,0.007667900179119558,0.00458
2,resource_allocation,uniform,2000,2000,0.07959922314052104,0.04685
2,resource_allocation,active_adaptive_bisection,2000,1980,0.0038503480371060647,0.00221
2,resource_allocation,uniform,5000,5000,0.038768454788986106,0.02162
2,resource_allocation,active_adaptive_bisection,5000,4968,0.0009725785643096563,0.00046
2,resource_allocation,uniform,10000,10000,0.02305522565627871,0.01909
2,resource_allocation,active_adaptive_bisection,10000,9984,0.00048733550720692076,0.00026
2,resource_allocation,uniform,25000,25000,0.025303158446527085,0.01784
2,resource_allocation,active_adaptive_bisection,25000,20076,0.00024340871997247104,0.00012
2,resource_allocation,uniform,50000,50000,0.02457527535362436,0.01797
2,resource_allocation,active_adaptive_bisection,50000,21510,0.00012200175837440153,7e-05
2,resource_allocation,uniform,100000,100000,0.02606117651029588,0.01792
2,resource_allocation,active_adaptive_bisection,100000,22944,6.0966602124401525e-05,5e-05
2,random_structured,uniform,100,100,0.5,0.36885
2,random_structured,active_adaptive_bisection,100,74,0.05288708141781606,0.02307
2,random_structured,uniform,200,200,0.5,0.36885
2,random_structured,active_adaptive_bisection,200,169,0.029000982217070037,0.01593
2,random_structured,uniform,500,500,0.5831902772154325,0.21755
2,random_structured,active_adaptive_bisection,500,432,0.015132540983389953,0.0096
2,random_structured,uniform,1000,1000,0.2021768086332113,0.13613
2,random_structured,active_adaptive_bisection,1000,901,0.007617066137567657,0.00433
2,random_structured,uniform,2000,2000,0.14915216022969247,0.07595
2,random_structured,active_adaptive_bisection,2000,1982,0.0038155423034268443,0.00214
2,random_structured,uniform,5000,5000,0.058489951290191966,0.01736
2,random_structured,active_adaptive_bisection,5000,4918,0.000950745763099059,0.00051
2,random_structured,uniform,10000,10000,0.011560894335213567,0.00395
2,random_structured,active_adaptive_bisection,10000,9865,0.0004872717287588424,0.00028
2,random_structured,uniform,25000,25000,0.0063534154755763295,0.00269
2,random_structured,active_adaptive_bisection,25000,17928,0.0002438184038669189,0.00014
2,random_structured,uniform,50000,50000,0.0035782098149449437,0.00116
2,random_structured,active_adaptive_bisection,50000,19183,0.00012181793218968284,7e-05
2,random_structured,uniform,100000,100000,0.0014782330272374855,0.00086
2,random_structured,active_adaptive_bisection,100000,20438,6.078277593968284e-05,2e-05
3,inventory_threshold,uniform,100,100,0.44999999999999996,0.27407
3,inventory_threshold,active_adaptive_bisection,100,84,0.03125,0.0186
3,inventory_threshold,uniform,200,200,0.44999999999999996,0.27407
3,inventory_threshold,active_adaptive_bisection,200,189,0.03125,0.01611
3,inventory_threshold,uniform,500,500,0.7845509736179388,0.14821
3,inventory_threshold,active_adaptive_bisection,500,480,0.015625,0.01014
3,inventory_threshold,uniform,1000,1000,0.2414684944065566,0.11234
3,inventory_threshold,active_adaptive_bisection,1000,999,0.0078125,0.00502
3,inventory_threshold,uniform,2000,2000,0.09231825658974901,0.04719
3,inventory_threshold,active_adaptive_bisection,2000,1980,0.00390625,0.00219
3,inventory_threshold,uniform,5000,5000,0.05726679786518907,0.01297
3,inventory_threshold,active_adaptive_bisection,5000,4968,0.0009765625,0.00053
3,inventory_threshold,uniform,10000,10000,0.015735769204209937,0.00575
3,inventory_threshold,active_adaptive_bisection,10000,9984,0.00048828125,0.00034
3,inventory_threshold,uniform,25000,25000,0.005015988840360475,0.00206
3,inventory_threshold,active_adaptive_bisection,25000,20076,0.000244140625,0.00025
3,inventory_threshold,uniform,50000,50000,0.002359284193418132,0.001
3,inventory_threshold,active_adaptive_bisection,50000,21510,0.0001220703125,8e-05
3,inventory_threshold,uniform,100000,100000,0.0023064697263831535,0.00122
3,inventory_threshold,active_adaptive_bisection,100000,22944,6.103515625e-05,2e-05
3,machine_replacement,uniform,100,100,0.15217391304347827,0.09987
3,machine_replacement,active_adaptive_bisection,100,84,0.028373430962343127,0.01562
3,machine_replacement,uniform,200,200,0.15217391304347827,0.09987
3,machine_replacement,active_adaptive_bisection,200,189,0.030988493723849375,0.01568
3,machine_replacement,uniform,500,500,0.2997616479957932,0.14633
3,machine_replacement,active_adaptive_bisection,500,480,0.015511301619064888,0.00769
3,machine_replacement,uniform,1000,1000,0.16265021383309536,0.09619
3,machine_replacement,active_adaptive_bisection,1000,999,0.007458164343456475,0.0035
3,machine_replacement,uniform,2000,2000,0.07295194420873297,0.03798
3,machine_replacement,active_adaptive_bisection,2000,1980,0.003845137120247477,0.00183
3,machine_replacement,uniform,5000,5000,0.02231330043480506,0.00973
3,machine_replacement,active_adaptive_bisection,5000,4968,0.0009693580709690952,0.00059
3,machine_replacement,uniform,10000,10000,0.004041128878183309,0.00219
3,machine_replacement,active_adaptive_bisection,10000,9984,0.000485404301486414,0.00021
3,machine_replacement,uniform,25000,25000,0.004409828452532266,0.00161
3,machine_replacement,active_adaptive_bisection,25000,20076,0.0002437853175595306,0.00019
3,machine_replacement,uniform,50000,50000,0.0011076651384674396,0.00059
3,machine_replacement,active_adaptive_bisection,50000,21510,0.00012171500505953059,7e-05
3,machine_replacement,uniform,100000,100000,0.0014806355043781028,0.00057
3,machine_replacement,active_adaptive_bisection,100000,22944,6.067984880953059e-05,6e-05
3,admission_control,uniform,100,100,0.5,0.27649
3,admission_control,active_adaptive_bisection,100,79,0.10325139470013944,0.04591
3,admission_control,uniform,200,200,0.5,0.27649
3,admission_control,active_adaptive_bisection,200,179,0.03140634093771314,0.02286
3,admission_control,uniform,500,500,0.1779606721976275,0.1442
3,admission_control,active_adaptive_bisection,500,456,0.018958609937707704,0.01022
