seed,budget,boundary,dH_j
18,200,B0,0.002487600603048055
18,200,B1,0.0014458594977180268
18,200,B2,0.0018931182326919942
18,500,B0,0.0007550151814019068
18,500,B1,0.0008077769354267856
18,500,B2,0.0006078900370360146
18,1000,B0,0.00046991265392589283
18,1000,B1,0.0005395356056153513
18,1000,B2,0.00032061879518986084
18,2000,B0,0.0002416381812776799
18,2000,B1,0.00022325890204826903
18,2000,B2,0.00012995631137809215
18,5000,B0,9.296441180764221e-05
18,5000,B1,0.00010120028613237292
18,5000,B2,8.566797535933872e-05
18,10000,B0,4.9225057292988974e-05
18,10000,B1,6.007814161452374e-05
18,10000,B2,5.761674009066498e-05
18,25000,B0,3.308647340254869e-05
18,25000,B1,2.8977254387630292e-05
18,25000,B2,3.6186112473540005e-05
18,50000,B0,3.19037373136554e-05
18,50000,B1,3.114023257632554e-05
18,50000,B2,1.5318457986507603e-05
18,100000,B0,2.203226960643287e-05
18,100000,B1,2.1623718538212633e-05
18,100000,B2,2.2328276975940827e-05
19,100,B0,0.004144786042949563
19,100,B1,0.0035500910996616097
19,100,B2,0.003985703848698271
19,200,B0,0.002075944089928852
19,200,B1,0.0014885264840476169
19,200,B2,0.0018270078096770234
19,500,B0,0.0008054140125738674
19,500,B1,0.0008353813925471847
19,500,B2,0.0005717661680748102
19,1000,B0,0.00036615785421817984
19,1000,B1,0.00045600650617532866
19,1000,B2,0.00037613231138434083
19,2000,B0,0.00025408429596808014
19,2000,B1,0.00021470923835791692
19,2000,B2,0.0001544767125461611
19,5000,B0,9.732413771195282e-05
19,5000,B1,0.00010317592393970629
19,5000,B2,8.477486836456306e-05
19,10000,B0,7.235712715613496e-05
19,10000,B1,6.900216544297799e-05
19,10000,B2,3.902710085920487e-05
19,25000,B0,4.323619076367637e-05
19,25000,B1,3.1243198818589954e-05
19,25000,B2,3.760835581182836e-05
19,50000,B0,3.0792478899226704e-05
19,50000,B1,1.971664898172221e-05
19,50000,B2,3.099542689509222e-05
19,100000,B0,2.143561677149515e-05
19,100000,B1,1.5325395677863205e-05
19,100000,B2,2.7360129668068162e-05
20,100,B0,0.005135930944731553
20,100,B1,0.00376753522056591
20,100,B2,0.005690598993509089
20,200,B0,0.0026927698703601605
20,200,B1,0.0014458039466055173
20,200,B2,0.0013286231730436173
20,500,B0,0.0009247322434379352
20,500,B1,0.0007429881220096467
20,500,B2,0.0006235817800971701
20,1000,B0,0.00045109579119196545
20,1000,B1,0.0005319939017289456
20,1000,B2,0.00036735930718795307
20,2000,B0,0.00022780058950346675
20,2000,B1,0.00015727244426991038
20,2000,B2,0.00021748089184542977
20,5000,B0,8.200604678609463e-05
20,5000,B1,0.00010166819103891498
20,5000,B2,8.188399008354864e-05
20,10000,B0,5.3206932807380714e-05
20,10000,B1,4.316736670658556e-05
20,10000,B2,3.976904418359326e-05
20,25000,B0,3.0590537993333887e-05
20,25000,B1,4.1171358983307066e-05
20,25000,B2,2.5563807879367325e-05
20,50000,B0,3.252112014097201e-05
20,50000,B1,2.595171498119616e-05
20,50000,B2,2.288150007646106e-05
20,100000,B0,2.4852025957967525e-05
20,100000,B1,1.3919029522849255e-05
20,100000,B2,2.6004973603305734e-05
21,100,B0,0.0031411873656538238
21,100,B1,0.003801731961335476
21,100,B2,0.004441541846937806
21,200,B0,0.001979870407248512
21,200,B1,0.0015459723206755326
21,200,B2,0.0017099880188719608
21,500,B0,0.0009884007849676327
21,500,B1,0.0007373232576712283
