seed,method,C_D,R_pi,C_bin
17,unstructured table,228.74331005543937,0.05249689762242987,"(220.183, 255.682]"
17,structured active boundary,56.89961963434299,3.2667742875695655e-05,"(42.685, 78.185]"
17,unstructured table,291.181650906549,0.03823593869217843,"(255.682, 291.182]"
18,structured active boundary,8.282611432809205,0.02502861010554247,"(6.902, 42.685]"
18,unstructured table,57.4739391502234,0.14657047634211137,"(42.685, 78.185]"
18,structured active boundary,9.62139404169611,0.017100133491469577,"(6.902, 42.685]"
18,unstructured table,66.92316774401047,0.14442251172294765,"(42.685, 78.185]"
18,structured active boundary,12.636670342089763,0.008834910363970782,"(6.902, 42.685]"
18,unstructured table,75.795602732877,0.14358513342307203,"(42.685, 78.185]"
18,structured active boundary,15.987944091603065,0.005648161387345751,"(6.902, 42.685]"
18,unstructured table,89.665925907524,0.1179956363569728,"(78.185, 113.684]"
18,structured active boundary,20.045013236447744,0.0026404996324353503,"(6.902, 42.685]"
18,unstructured table,109.41092236474124,0.11174343360231878,"(78.185, 113.684]"
18,structured active boundary,25.965398346858755,0.0007389737562134115,"(6.902, 42.685]"
18,unstructured table,137.3145399854437,0.08577423388628289,"(113.684, 149.184]"
18,structured active boundary,33.49495601042679,0.00023280285399161521,"(6.902, 42.685]"
18,unstructured table,173.25949782845774,0.07482657882902445,"(149.184, 184.683]"
18,structured active boundary,45.18640030893968,5.778157585097548e-05,"(42.685, 78.185]"
18,unstructured table,225.50522244087446,0.055004672249314754,"(220.183, 255.682]"
18,structured active boundary,57.627474452564634,4.329880703563041e-05,"(42.685, 78.185]"
18,unstructured table,287.521252155962,0.04245822663164591,"(255.682, 291.182]"
19,structured active boundary,7.513936356543023,0.023990291374873882,"(6.902, 42.685]"
19,unstructured table,54.66081765450636,0.15797753170263842,"(42.685, 78.185]"
19,structured active boundary,10.142232598467098,0.014939340185179324,"(6.902, 42.685]"
19,unstructured table,65.22163903660902,0.14784027000529018,"(42.685, 78.185]"
19,structured active boundary,12.557695200667434,0.009887248475659081,"(6.902, 42.685]"
19,unstructured table,77.24962178941632,0.14460236462922565,"(42.685, 78.185]"
19,structured active boundary,16.779966829862747,0.004701942685218792,"(6.902, 42.685]"
19,unstructured table,91.46807997083961,0.11666600433706248,"(78.185, 113.684]"
19,structured active boundary,20.002570904935475,0.0023825764885207234,"(6.902, 42.685]"
19,unstructured table,107.17189232194698,0.1027310681445127,"(78.185, 113.684]"
19,structured active boundary,26.595800230355206,0.0007456761770000725,"(6.902, 42.685]"
19,unstructured table,142.02567328833678,0.09161327039727887,"(113.684, 149.184]"
19,structured active boundary,34.748384061217635,0.0002179927708861232,"(6.902, 42.685]"
19,unstructured table,172.24937288790278,0.07326167618994203,"(149.184, 184.683]"
19,structured active boundary,43.89186135480309,5.062346674602889e-05,"(42.685, 78.185]"
19,unstructured table,226.9439814437861,0.05156792417675773,"(220.183, 255.682]"
