geometry,seed,method,budget,n_boundaries,slope,curvature,dH,R_pi,C_D
1,14,active,10000,3,0.7667492475135609,0.06213843437699293,0.0001155834154218903,8.084526837519668e-05,15.800924667323375
1,14,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.07318380608983005,0.0322386054813092,83.45073724665892
1,15,active,10000,3,0.7667492475135609,0.06213843437699293,9.975314877674543e-05,4.9750934384736417e-05,15.800798025190215
1,15,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.06316057602452668,0.039458709833894066,83.77564194252523
1,16,active,10000,3,0.7667492475135609,0.06213843437699293,0.000142927774472959,9.950186876947283e-05,15.801143422195784
1,16,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.09049739959413262,0.03938408343231696,83.77228375445426
1,17,active,10000,3,0.7667492475135609,0.06213843437699293,7.043013391083708e-05,6.218866798092052e-05,15.800563441071287
1,17,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.04459415950116066,0.026965006436527137,83.21342528964372
1,18,active,10000,3,0.7667492475135609,0.06213843437699293,8.538931686023418e-05,4.353206758664436e-05,15.800683114534882
1,18,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.05406584659602176,0.03925348722955703,83.76640692533006
1,19,active,10000,3,0.7667492475135609,0.06213843437699293,6.16532031259033e-05,4.353206758664436e-05,15.800493225625008
1,19,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.039036881250814955,0.02491899925995485,83.12135496669796
1,20,active,10000,3,0.7667492475135609,0.06213843437699293,0.00010705925094229088,6.218866798092052e-05,15.800856474007539
1,20,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.06778657156383334,0.04710791599554729,84.11985621979963
1,21,active,10000,3,0.7667492475135609,0.06213843437699293,8.494760652645247e-05,0.00010572073556756488,15.800679580852213
1,21,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.053786169418275014,0.043227343113537854,83.9452304401092
1,22,active,10000,3,0.7667492475135609,0.06213843437699293,8.919212894249046e-05,3.109433399046026e-05,15.800713537031541
1,22,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.056473668349765534,0.03061548124700717,83.37769665611532
1,23,active,10000,3,0.7667492475135609,0.06213843437699293,7.362473726981594e-05,8.706413517328872e-05,15.80058899789816
1,23,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.046616882500863044,0.04167884528081293,83.87554803763658
1,24,active,10000,3,0.7667492475135609,0.06213843437699293,0.00022152284358312874,0.00012437733596184103,15.801772182748666
1,24,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.14026134086876352,0.06857544418256105,85.08589498821524
1,25,active,10000,3,0.7667492475135609,0.06213843437699293,0.00011205545394523189,7.462640157710462e-05,15.800896443631563
1,25,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.07095001114920285,0.04415395426645357,83.98692794199042
1,26,active,10000,3,0.7667492475135609,0.06213843437699293,2.7729394867240242e-05,2.4875467192368208e-05,15.800221835158938
1,26,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.017557386148793732,0.009962624610543466,82.44831810747445
