x,z,method
-0.08582444883285767,-0.4954604086101342,active boundary sampling
0.05369145166754219,-0.5961775388510747,active boundary sampling
0.4522564984135089,0.22900885362903953,active boundary sampling
0.588113568650771,0.1438542148008152,active boundary sampling
0.22946269847033585,-0.7407733228470474,active boundary sampling
-0.7137826013537389,-0.08930853788011764,active boundary sampling
-0.19998055295706174,0.12759669059230463,active boundary sampling
0.3763523467535981,-0.2884535533792652,active boundary sampling
-0.9168862463669782,-0.0036698324033377135,active boundary sampling
0.1072644555010076,-0.11632459908196302,active boundary sampling
-0.9556381837383399,0.5948035502343111,active boundary sampling
0.8149001407435692,-0.5049795835705193,active boundary sampling
-0.7225821708658964,1.0,active boundary sampling
0.8981881479302665,-0.5383223179551836,active boundary sampling
0.727950324154238,-1.0,active boundary sampling
-0.8094762755467273,-0.06432102684674548,active boundary sampling
-0.029045550326570746,0.01320599400441985,active boundary sampling
-0.5036645025333988,0.35325024456712883,active boundary sampling
0.9516587009378321,-0.5363950562084648,active boundary sampling
-0.8412429061341331,0.5437886802708445,active boundary sampling
0.8070435033672665,-1.0,active boundary sampling
-0.5968236485490013,0.4294830663582085,active boundary sampling
-0.1656150718746492,-0.39313163476989954,active boundary sampling
-0.5620530149090173,-0.14358074242437902,active boundary sampling
0.05855414651179003,0.47955441768910034,active boundary sampling
0.5687130983080784,-0.3943008861511761,active boundary sampling
-0.899550379858095,1.0,active boundary sampling
0.2629704942866349,-0.7837037799950142,active boundary sampling
0.6610244002121033,-1.0,active boundary sampling
0.8478537509808961,-0.5403850496663298,active boundary sampling
0.7186028599518053,-0.4467519537649278,active boundary sampling
0.2682440701412161,0.2940017156936927,active boundary sampling
-0.6036661664773963,-0.14905672959896327,active boundary sampling
0.11106956573698556,-0.6504927553189227,active boundary sampling
0.6655324580319244,-1.0,active boundary sampling
0.8366204979790142,0.0519564285961605,active boundary sampling
0.3642813395058755,-0.8653280234885855,active boundary sampling
-0.4617285599145393,-0.19670646217533325,active boundary sampling
0.2510477188121454,0.33599454122799793,active boundary sampling
-0.7790673491612385,-0.0561991942203818,active boundary sampling
-0.37203767146947,-0.259838170570393,active boundary sampling
0.7705601311684089,-0.4842780493308303,active boundary sampling
-0.206970432892027,0.7079215046065025,active boundary sampling
0.16020749430191406,-0.6952271543156628,active boundary sampling
-0.6712611125261785,0.4706673774980728,active boundary sampling
0.5953349625192994,-0.43279364184006847,active boundary sampling
-0.17040078848224605,0.6701514051831554,active boundary sampling
-0.21598788884692222,0.15103244341488659,active boundary sampling
-0.07004446252659702,0.569132182264099,active boundary sampling
-0.5193994363835099,-0.13948017865259818,active boundary sampling
-0.06230509326837663,0.038837570612468654,active boundary sampling
0.39173678360784336,0.270077818137602,active boundary sampling
0.7860749977512673,-0.5041426549714201,active boundary sampling
-0.5760266792879389,-0.15665700553540715,active boundary sampling
0.3278746660771892,-0.310268350040228,active boundary sampling
-0.2601938617324009,0.7687065183258387,active boundary sampling
-0.046634369114259666,-0.5313406985864916,active boundary sampling
0.6523017007227359,-0.4229062491134794,active boundary sampling
-0.2631815449191386,0.19650768406170072,active boundary sampling
0.6829247115193164,0.11662632593629749,active boundary sampling
-0.6390221833111975,0.9841009789546887,active boundary sampling
-0.7930128088929458,1.0,active boundary sampling
-0.8568109281718461,0.5425504660505801,active boundary sampling
0.23854947656611847,-0.769907404240002,active boundary sampling
-0.8053864902473629,1.0,active boundary sampling
-0.09028699802605922,0.5617347698308532,active boundary sampling
-0.49765602193688263,0.9217359987001162,active boundary sampling
-0.2956310371054307,0.7853637744018407,active boundary sampling
-0.8518107705296536,0.5655964561088072,active boundary sampling
0.560144286414151,0.15973132746537516,active boundary sampling
0.720155205135308,-1.0,active boundary sampling
0.24817532438885404,0.3618910958014052,active boundary sampling
0.6867653184839928,-0.45193614195587556,active boundary sampling
0.4370580829386377,0.22958032634161724,active boundary sampling
0.4589805299286873,-0.33851687360584337,active boundary sampling
0.7536362951108946,-0.4668326016144691,active boundary sampling
-0.7152802573437729,-0.05825608124769474,active boundary sampling
-0.15878233180869206,-0.43300781316490333,active boundary sampling
-0.914156607445699,1.0,active boundary sampling
0.7507458532853617,-1.0,active boundary sampling
0.4795916418399355,-0.36789393418829386,active boundary sampling
-0.594339301370671,0.9980503616014137,active boundary sampling
0.5835740884586429,-0.9561373161778994,active boundary sampling
-0.0015747559424097446,0.4899054863490144,active boundary sampling
-0.15202451718347287,-0.4523499593340442,active boundary sampling
0.6501874617486936,-0.4486590701018955,active boundary sampling
-0.9268477945109839,-0.0029279578553624225,active boundary sampling
-0.1278658118569307,0.6409202593038308,active boundary sampling
0.7260989266934987,-0.4684822544403862,active boundary sampling
0.5772103241855693,0.1515358366614273,active boundary sampling
0.7653479528377443,-0.49979580385210287,active boundary sampling
-0.5693254012669986,0.4391828980799437,active boundary sampling
0.21989545212049189,0.3572560789181128,active boundary sampling
-0.7111072848276101,-0.08612000482611057,active boundary sampling
0.42381247190884497,-0.888347926834019,active boundary sampling
-0.002625796340090192,0.5311605421712797,active boundary sampling
-0.35917178991554155,0.8062464322005235,active boundary sampling
0.016090431710445996,-0.5707685499244396,active boundary sampling
-0.8685418936641354,1.0,active boundary sampling
0.7224011954892307,-1.0,active boundary sampling
0.0008014434091949685,-0.5723309960929912,active boundary sampling
0.9731318898096963,-0.010929105980297137,active boundary sampling
0.3862056828000222,-0.2724603720205644,active boundary sampling
-0.9243071360297241,1.0,active boundary sampling
-0.48131019911607953,0.3653810979774237,active boundary sampling
-0.6615117252526705,-0.11185096855338768,active boundary sampling
0.7397206663511482,0.07546256156532187,active boundary sampling
-0.5441642384132044,0.4040698206260786,active boundary sampling
0.7728332961692255,-0.4930217354080213,active boundary sampling
0.8029841347661233,-1.0,active boundary sampling
-0.5036075030695188,0.35075194504228874,active boundary sampling
-0.4361069241252924,0.8860155948466216,active boundary sampling
-0.6800836054330042,0.4804414765032535,active boundary sampling
-0.4914328813964248,0.3553315729430631,active boundary sampling
-0.3183391785751035,0.7872903431598282,active boundary sampling
0.2139964940725274,-0.2119554406534066,active boundary sampling
0.8283945526111505,-1.0,active boundary sampling
0.7731902974072977,0.10878858243179101,active boundary sampling
0.9651004780572328,-1.0,active boundary sampling
-0.10090062335212369,-0.48288006627304786,active boundary sampling
0.17763558951782454,-0.16527863972627954,active boundary sampling
-0.8432832791277269,1.0,active boundary sampling
-0.028740310729235663,-0.5517337688094108,active boundary sampling
0.14158496033480605,-0.11940348932562857,active boundary sampling
-0.3232201261849095,-0.30182660085754726,active boundary sampling
0.2843628358501542,0.30323110693389854,active boundary sampling
-0.3117254326591792,0.22343564411259337,active boundary sampling
0.7065837301521078,0.1276140177816798,active boundary sampling
-0.9257444528371501,0.008789055600838336,active boundary sampling
-0.9636006082775332,1.0,active boundary sampling
0.1845503926794303,-0.18938086759321054,active boundary sampling
0.2957077216553876,-0.788786027877652,active boundary sampling
0.0653465154713857,-0.6248433994448088,active boundary sampling
0.3816712062105012,-0.8622940563991324,active boundary sampling
-0.558593804943927,0.9951682691544582,active boundary sampling
-0.4442137272219193,0.3296853122903779,active boundary sampling
-0.1897013572170858,0.11946564239690101,active boundary sampling
-0.25831481953085644,0.7356302950401729,active boundary sampling
-0.8744224841803623,1.0,active boundary sampling
-0.48165203009671753,0.35496221445477916,active boundary sampling
0.7317545762310786,-0.4885198381692038,active boundary sampling
0.2647256161757421,-0.21155030958664214,active boundary sampling
-0.41202525749131547,0.8689917398365051,active boundary sampling
0.5637379881869986,-0.9692988496012552,active boundary sampling
-0.1593344536438177,0.666244081333716,active boundary sampling
-0.7818664191003237,1.0,active boundary sampling
-0.7280762899855109,-0.07172611174923701,active boundary sampling
-0.8308794447190908,0.5439041496362048,active boundary sampling
-0.6949479118488882,1.0,active boundary sampling
-0.23034668328510688,0.17625230522343122,active boundary sampling
-0.7008404874851037,-0.08138535091055683,active boundary sampling
-0.21923048644831145,0.17540146328090067,active boundary sampling
0.7394975899536123,-0.45845338962566934,active boundary sampling
0.8964946720260898,-0.539861743342922,active boundary sampling
0.054382665713522904,-0.05616459728770669,active boundary sampling
0.5458642377593159,-0.9871971386632923,active boundary sampling
0.22982318211998742,-0.7528349608708522,active boundary sampling
-0.9528846050289439,0.0034127084244863683,active boundary sampling
0.012394465934661758,-0.5386256698604472,active boundary sampling
