geometry,method,dH_mean,dH_sd,dH_ci95,R_pi_mean,R_pi_sd,R_pi_ci95,C_D_mean,C_D_sd,C_D_ci95
37,uniform,0.07094792681529484,0.019698370361656933,0.007048971304871524,0.08001194022425231,0.027131756084390012,0.009708974223670319,121.60053731009134,1.2209290237975499,0.4369038400651642
38,active,0.00011335283972507351,3.905831047067358e-05,1.3976836899181052e-05,9.224652417169876e-05,3.367164177348e-05,1.2049242261744592e-05,15.800906822717801,0.0003124664837654326,0.00011181469519346415
38,uniform,0.07177147527520517,0.024730501424024318,0.008849696279056476,0.051129242562753544,0.0200902582143797,0.007189206571944558,84.30081591532391,0.9040616196470859,0.3235142957375049
39,active,0.0001122058392924622,4.70268115693395e-05,1.6828328395993815e-05,9.908727764960002e-05,5.401603246367165e-05,1.932938897222575e-05,19.400897646714338,0.0003762144925550831,0.00013462662716808187
39,uniform,0.07104523045072858,0.02977590726448389,0.010655171571573982,0.06591563485301709,0.030210539620157267,0.010810702762584275,102.96620356838577,1.3594742829070772,0.48648162431629244
40,active,0.00010661077259221524,4.000866155623576e-05,1.4316915667560845e-05,7.877231277583266e-05,3.7997903785472645e-05,1.3597375240260014e-05,19.400852886180736,0.0003200692924495493,0.00011453532534036625
40,uniform,0.06750260908973242,0.025332234028206314,0.009065023526042392,0.05796108233157755,0.024398905215405827,0.008731036099740033,102.60824870492097,1.0979507346932618,0.39289662448830137
41,active,8.871435682774829e-05,4.318168796953792e-05,1.545236858708271e-05,2.6326536111923018e-05,1.874099562788723e-05,6.706379156259692e-06,12.200709714854622,0.00034545350375610184,0.00012361894869658956
41,uniform,0.056171157979469664,0.027341295180290937,0.00978395682614638,0.02421564542509064,0.0121602533150438,0.004351490763142623,65.08970404412908,0.5472113991769699,0.19581708434141765
42,active,8.660352981303028e-05,3.604533508294519e-05,1.2898657503604133e-05,4.560502318600838e-05,2.8723715359462977e-05,1.0278649533987182e-05,15.800692828238505,0.00028836268066359435,0.00010318926002884481
42,uniform,0.05483464828756933,0.02282277957893856,0.008167026784230567,0.036436755161141206,0.015508358973699711,0.005549594985991559,83.63965398225135,0.6978761538164882,0.24973177436962057
43,active,0.00011547839221707739,3.4677781321812445e-05,1.2409284675136155e-05,0.00011546362688457577,5.7687197434628676e-05,2.0643098485277512e-05,23.000923827137736,0.0002774222505748312,9.927427740120792e-05
43,uniform,0.07311730867906881,0.02195688728023254,0.007857171204574657,0.07591225593539011,0.029589676083512238,0.010588529599337702,121.41605151709254,1.3315354237580503,0.47648383197019645
44,active,0.00011598201293480636,4.116502772676733e-05,1.4730715987300369e-05,0.00010654991780731047,5.41836569291342e-05,1.938937261682916e-05,19.400927856103472,0.00032932022181427124,0.0001178457278984504
44,uniform,0.07343618557689623,0.02606440894519919,0.009327028955185687,0.07030532563023033,0.0291398878583312,0.010427574950076884,103.16373965336035,1.3112949536249043,0.4692408727534598
45,active,0.00010003610493103365,4.953599840013824e-05,1.7726229371766415e-05,3.814238302829791e-05,2.35385848118551e-05,8.423174397158336e-06,12.200800288839448,0.00039628798720117285,0.00014180983497415526
45,uniform,0.06333973501766664,0.03136464594120986,0.01122369440557348,0.03069218060418364,0.015775476962689203,0.0056451819307404005,65.38114812718825,0.7098964633210141,0.254033186883318
46,active,9.741448687575731e-05,5.1930845682499275e-05,1.8583214465608082e-05,6.695646585945775e-05,4.316854842432881e-05,1.544766666121587e-05,15.800779315895005,0.0004154467654601244,0.00014866571572491125
46,uniform,0.061679808403631256,0.032880988389538346,0.011766310581956868,0.0417203043928002,0.019782637145314624,0.007079125786133237,83.877413697676,0.8902186715391577,0.31856066037599556
47,active,0.00010177860656490276,5.817860312560578e-05,2.0818945753409435e-05,6.405432802034813e-05,4.000895046161967e-05,1.4317019051024735e-05,15.80081422885252,0.0004654288250047557,0.00016655156602724306
47,uniform,0.06444303259040549,0.03683687312910056,0.013181905755699337,0.04236250603748318,0.029111666126700093,0.01041747593311309,83.90631277168676,1.3100249757015041,0.468786416990089
48,active,0.000118385398766298,3.804066794588358e-05,1.3612678198529111e-05,0.00015256953211319167,4.819143281714044e-05,1.7245082757195802e-05,23.000947083190123,0.00030432534356703006,0.00010890142558821906
48,uniform,0.07495793436765857,0.02408616198369717,0.008619122371566956,0.08742006164969955,0.02606816960368383,0.009328374689541319,121.93390277423649,1.1730676321657727,0.41977686102935946
49,active,0.00011014610556369098,4.454258568593202e-05,1.5939359580530568e-05,6.861483033894897e-05,3.147725994519656e-05,1.1263992809352818e-05,15.800881168844509,0.0003563406854873736,0.00012751487664421502
49,uniform,0.06974107143056972,0.028202973079509204,0.01009230430231398,0.04242966979890257,0.01792467282278497,0.0064142617920802305,83.90933514095062,0.8066102770253255,0.28864178064361107
