seed,family,structure,grid_size,states,actions,C_B,C_R,F,L,kappa,C_top,C_D,boundary_edges,L_table,L_Gamma,L_Pi_struct,table_to_boundary_ratio,table_to_struct_policy_ratio
0,random_structured,structured,320,102400,2,1.0,2.0,1.0,2.1065830721003134,1.0532915360501567,4.0,7.159874608150471,336.0,102400.0,5594.335679764307,5596.335679764307,18.304228752378723,18.297687247436993
0,random_structured,structured,320,102400,3,2.0,3.0,1.0,4.213166144200627,2.1065830721003134,6.0,12.319749216300941,672.0,162300.16007384637,11191.0112095315,11195.766097033664,14.502725181403951,14.496565814897478
0,random_structured,structured,320,102400,4,3.0,4.0,1.0,6.909090909090909,3.4545454545454546,8.0,18.363636363636363,1102.0,204800.0,18353.529521131746,18361.529521131746,11.158616644509653,11.153754907198863
0,random_structured,structured,320,102400,5,4.0,5.0,1.0,9.60501567398119,4.802507836990595,10.0,24.40752351097179,1532.0,237765.4369164659,25516.963107493975,25528.572747968414,9.317936304365213,9.31369878229434
0,random_structured,structured,320,102400,8,7.0,8.0,1.0,17.692789968652036,8.846394984326018,16.0,42.539184952978054,2822.0,307200.0,47010.96216754427,47034.96216754427,6.534646087547783,6.531311727342655
0,random_structured,structured,320,102400,10,9.0,10.0,1.0,23.072100313479623,11.536050156739812,20.0,54.608150470219435,3680.0,340165.4369164659,61309.18548407895,61342.40476502783,5.548360074116489,5.545355422883568
0,oscillatory_fragmented,unstructured,320,102400,2,1.0,13.0,6.5,11.203761755485893,5.601880877742946,20.5,37.30564263322884,1787.0,102400.0,29744.57101112743,29757.57101112743,3.4426450447610155,3.441141078406868
0,oscillatory_fragmented,unstructured,320,102400,3,2.0,23.0,7.666666666666667,22.25705329153605,11.128526645768025,32.666666666666664,66.05224660397073,3550.0,162300.16007384637,59092.02932370315,59128.48346121974,2.7465660247471666,2.7448727004861078
0,oscillatory_fragmented,unstructured,320,102400,4,3.0,34.0,8.5,34.05015673981191,17.025078369905955,45.5,96.57523510971787,5431.0,204800.0,90404.78296666652,90472.78296666652,2.2653668675418706,2.2636642013704367
0,oscillatory_fragmented,unstructured,320,102400,5,4.0,45.0,9.0,45.73040752351097,22.865203761755485,58.0,126.59561128526644,7294.0,237765.4369164659,121418.86247297593,121523.34923724586,1.95822487605157,1.9565411783729283
