seed,dimension,actions,C_V,C_D,DCR,C_B,C_R,F,C_top
12,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
12,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
12,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
12,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
12,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
12,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
13,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
13,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
13,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
13,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
13,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
13,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
13,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
13,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
14,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
14,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
14,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
14,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
14,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
14,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
14,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
14,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
15,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
15,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
15,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
15,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
15,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
15,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
15,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
15,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
16,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
16,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
16,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
16,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
16,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
16,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
16,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
16,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
17,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
17,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
17,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
