seed,family,structure,grid_size,states,actions,noise_amplitude,C_V,DCR,DCR_relative_to_clean,MDL_ratio,MDL_relative_to_clean,C_B,C_R,F,L,kappa,C_top,C_D,boundary_edges,L_table,L_Gamma,L_Pi_struct,table_to_boundary_ratio,table_to_struct_policy_ratio
1,resource_allocation,structured,320,102400,4,0.035,102400.0,5004.688218170675,1.0068944384862877,9.278257802800525,1.0113104972090918,3.0,4.0,1.0,8.307210031347962,4.153605015673981,8.0,20.460815047021946,1325.0,204800.0,22065.10945145151,22073.10945145151,9.28162175903132,9.278257802800525
1,resource_allocation,structured,320,102400,4,0.05,102400.0,5020.842299415924,1.0101444820166001,9.327490461723599,1.0166767530119205,3.0,4.0,1.0,8.263322884012538,4.131661442006269,8.0,20.394984326018808,1318.0,204800.0,21948.602458123085,21956.602458123085,9.330890219126657,9.327490461723599
1,resource_allocation,structured,320,102400,4,0.075,102400.0,5053.465346534653,1.0167079207920793,9.427540034143217,1.0275819450188401,3.0,4.0,1.0,8.175548589341693,4.087774294670846,8.0,20.263322884012542,1304.0,204800.0,21715.58847146624,21723.58847146624,9.43101312999656,9.427540034143217
1,resource_allocation,structured,320,102400,4,0.1,102400.0,5069.936365047339,1.0200217290082263,9.478374032477173,1.033122743434112,3.0,4.0,1.0,8.13166144200627,4.065830721003135,8.0,20.197492163009404,1297.0,204800.0,21599.081478137818,21607.081478137818,9.481884690665883,9.478374032477173
1,random_structured,structured,320,102400,4,0.0,102400.0,5325.334202804043,1.0,10.295200657299665,1.0,3.0,4.0,1.0,7.485893416927899,3.7429467084639496,8.0,19.228840125391848,1194.0,204800.0,19884.76429059102,19892.76429059102,10.299342602562621,10.295200657299665
1,random_structured,structured,320,102400,4,0.0025,102400.0,5327.939977165226,1.0004893165878324,10.303821647484874,1.0008373795200483,3.0,4.0,1.0,7.47962382445141,3.739811912225705,8.0,19.219435736677116,1193.0,204800.0,19868.120434401244,19876.120434401244,10.307970533810183,10.303821647484874
1,random_structured,structured,320,102400,4,0.005,102400.0,5325.334202804043,1.0,10.295200657299665,1.0,3.0,4.0,1.0,7.485893416927899,3.7429467084639496,8.0,19.228840125391848,1194.0,204800.0,19884.76429059102,19892.76429059102,10.299342602562621,10.295200657299665
1,random_structured,structured,320,102400,4,0.01,102400.0,5322.730976046929,0.9995111618054424,10.286594081055828,0.9991640205441032,3.0,4.0,1.0,7.492163009404388,3.746081504702194,8.0,19.238244514106583,1195.0,204800.0,19901.408146780796,19909.408146780796,10.290729102660405,10.286594081055828
1,random_structured,structured,320,102400,4,0.02,102400.0,5320.130293159608,0.9990228013029314,10.278001882634276,0.9983294376440158,3.0,4.0,1.0,7.498432601880878,3.749216300940439,8.0,19.247648902821318,1196.0,204800.0,19918.05200297057,19926.05200297057,10.282129997926313,10.278001882634276
1,random_structured,structured,320,102400,4,0.035,102400.0,5330.548302872063,1.0009791122715403,10.312457087851614,1.00167616262435,3.0,4.0,1.0,7.4733542319749215,3.7366771159874608,8.0,19.21003134796238,1192.0,204800.0,19851.47657821147,19859.47657821147,10.316612932701632,10.312457087851614
1,random_structured,structured,320,102400,4,0.05,102400.0,5351.507208387943,1.0049148099606817,10.382065206502425,1.008437382824702,3.0,4.0,1.0,7.423197492163009,3.7115987460815045,8.0,19.134796238244512,1184.0,204800.0,19718.32572869327,19726.32572869327,10.386277355281932,10.382065206502425
1,random_structured,structured,320,102400,4,0.075,102400.0,5364.690425357201,1.0073903760880274,10.426049491958896,1.0127096925076884,3.0,4.0,1.0,7.391849529780564,3.695924764890282,8.0,19.087774294670847,1179.0,204800.0,19635.106447744398,19643.106447744398,10.430297413718712,10.426049491958896
1,random_structured,structured,320,102400,4,0.1,102400.0,5312.343470483006,0.9975605789559279,10.252311194918175,0.9958340333705803,3.0,4.0,1.0,7.517241379310344,3.758620689655172,8.0,19.275862068965516,1199.0,204800.0,19967.983571539895,19975.983571539895,10.256418694769899,10.252311194918175
2,inventory_threshold,structured,320,102400,4,0.0,102400.0,5072.298136645963,1.0,9.485680817873181,1.0,3.0,4.0,1.0,8.12539184952978,4.06269592476489,8.0,20.188087774294672,1296.0,204800.0,21582.43762194804,21590.43762194804,9.489196891815904,9.485680817873181
2,inventory_threshold,structured,320,102400,4,0.0025,102400.0,5074.662109678422,1.0004660556159704,9.492998877418433,1.0007714849029563,3.0,4.0,1.0,8.119122257053291,4.059561128526646,8.0,20.178683385579937,1295.0,204800.0,21565.793765758266,21573.793765758266,9.496520379656848,9.492998877418433
2,inventory_threshold,structured,320,102400,4,0.005,102400.0,5077.028287224122,1.000932545850171,9.500328237226581,1.001544161102891,3.0,4.0,1.0,8.112852664576803,4.056426332288401,8.0,20.169278996865202,1294.0,204800.0,21549.149909568492,21557.149909568492,9.503855180341125,9.500328237226581
2,inventory_threshold,structured,320,102400,4,0.01,102400.0,5077.028287224122,1.000932545850171,9.500328237226581,1.001544161102891,3.0,4.0,1.0,8.112852664576803,4.056426332288401,8.0,20.169278996865202,1294.0,204800.0,21549.149909568492,21557.149909568492,9.503855180341125,9.500328237226581
2,inventory_threshold,structured,320,102400,4,0.02,102400.0,5079.396672368216,1.001399471310838,9.507668923491993,1.0023180313612683,3.0,4.0,1.0,8.106583072100314,4.053291536050157,8.0,20.15987460815047,1293.0,204800.0,21532.50605337872,21540.50605337872,9.511201320102002,9.507668923491993
