seed,family,structure,grid_size,states,actions,C_B,C_R,F,L,kappa,C_top,C_D,boundary_edges
4,oscillatory_fragmented,unstructured,160,25600,4,3.0,33.0,8.25,34.0,17.0,44.25,95.25,2703.0
4,inventory_threshold,structured,240,57600,4,3.0,4.0,1.0,8.13389121338912,4.06694560669456,8.0,20.20083682008368,972.0
4,machine_replacement,structured,240,57600,4,3.0,4.0,1.0,6.8117154811715475,3.4058577405857737,8.0,18.21757322175732,814.0
4,admission_control,structured,240,57600,4,3.0,4.0,1.0,7.02928870292887,3.514644351464435,8.0,18.543933054393307,840.0
4,resource_allocation,structured,240,57600,4,3.0,4.0,1.0,8.401673640167363,4.200836820083682,8.0,20.602510460251047,1004.0
4,random_structured,structured,240,57600,4,3.0,4.0,1.0,7.397489539748953,3.6987447698744766,8.0,19.09623430962343,884.0
4,oscillatory_fragmented,unstructured,240,57600,4,3.0,34.0,8.5,33.98326359832636,16.99163179916318,45.5,96.47489539748955,4061.0
4,inventory_threshold,structured,320,102400,4,3.0,4.0,1.0,8.12539184952978,4.06269592476489,8.0,20.188087774294672,1296.0
4,machine_replacement,structured,320,102400,4,3.0,4.0,1.0,6.808777429467084,3.404388714733542,8.0,18.213166144200628,1086.0
4,admission_control,structured,320,102400,4,3.0,4.0,1.0,7.015673981191222,3.507836990595611,8.0,18.523510971786834,1119.0
4,resource_allocation,structured,320,102400,4,3.0,4.0,1.0,8.401253918495298,4.200626959247649,8.0,20.60188087774295,1340.0
4,random_structured,structured,320,102400,4,3.0,4.0,1.0,7.385579937304075,3.6927899686520376,8.0,19.078369905956112,1178.0
4,oscillatory_fragmented,unstructured,320,102400,4,3.0,34.0,8.5,34.05015673981191,17.025078369905955,45.5,96.57523510971787,5431.0
5,inventory_threshold,structured,40,1600,4,3.0,4.0,1.0,8.307692307692307,4.153846153846153,8.0,20.46153846153846,162.0
5,machine_replacement,structured,40,1600,4,3.0,4.0,1.0,6.9743589743589745,3.4871794871794872,8.0,18.46153846153846,136.0
5,admission_control,structured,40,1600,4,3.0,4.0,1.0,7.179487179487179,3.5897435897435894,8.0,18.769230769230766,140.0
5,resource_allocation,structured,40,1600,4,3.0,4.0,1.0,8.512820512820513,4.256410256410256,8.0,20.769230769230766,166.0
5,random_structured,structured,40,1600,4,3.0,4.0,1.0,6.769230769230769,3.3846153846153846,8.0,18.153846153846153,132.0
